0.00497445 94
0.0148747 113
0.024775 97
0.0346753 104
0.0445756 93
0.0544759 99
0.0643762 96
0.0742765 96
0.0841768 96
0.0940771 97
0.103977 88
0.113878 93
0.123778 105
0.133678 91
0.143579 99
0.153479 98
0.163379 94
0.173279 91
0.18318 89
0.19308 112
0.20298 91
0.212881 95
0.222781 109
0.232681 101
0.242582 100
0.252482 97
0.262382 92
0.272282 115
0.282183 92
0.292083 77
0.301983 100
0.311884 99
0.321784 91
0.331684 105
0.341584 91
0.351485 93
0.361385 97
0.371285 100
0.381186 108
0.391086 81
0.400986 97
0.410887 103
0.420787 94
0.430687 97
0.440587 93
0.450488 87
0.460388 105
0.470288 96
0.480189 85
0.490089 126
0.499989 108
0.509889 117
0.51979 86
0.52969 115
0.53959 106
0.549491 97
0.559391 116
0.569291 108
0.579192 91
0.589092 96
0.598992 110
0.608892 105
0.618793 109
0.628693 99
0.638593 103
0.648494 103
0.658394 96
0.668294 99
0.678194 111
0.688095 117
0.697995 96
0.707895 98
0.717796 101
0.727696 97
0.737596 93
0.747497 110
0.757397 106
0.767297 91
0.777197 101
0.787098 102
0.796998 107
0.806898 98
0.816799 90
0.826699 99
0.836599 89
0.846499 110
0.8564 113
0.8663 95
0.8762 108
0.886101 95
0.896001 97
0.905901 107
0.915802 95
0.925702 73
0.935602 93
0.945502 100
0.955403 84
0.965303 95
0.975203 117
0.985104 91
0.995004 95
